"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","FootballTest","","FootballTest","getDetailsOfMultipleAreas","getDetailsOfMultipleAreas()",""
"passed","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","291","","GPathXMLPathTest","","GPathXMLPathTest","getAtrtributes","getAtrtributes()",""
"passed","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","305","","GPathXMLPathTest","","GPathXMLPathTest","getSingleNode","getSingleNode()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMultiplleValuesAndSumThem","extractMultiplleValuesAndSumThem()",""
"passed","Wed Jun 12 21:16:12 GMT 2024","Wed Jun 12 21:16:15 GMT 2024","3023","","GPathXMLPathTest","","GPathXMLPathTest","getXMLNodesWithAttribute","getXMLNodesWithAttribute()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","FootballTest","","FootballTest","getTeamDateFounded","getTeamDateFounded()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithLowestNumber","extractSingleValueWithLowestNumber()",""
"passed","Wed Jun 12 21:16:16 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","322","","GPathXMLPathTest","","GPathXMLPathTest","getSingleElementDepthFirstSearch","getSingleElementDepthFirstSearch()",""
"passed","Wed Jun 12 21:16:21 GMT 2024","Wed Jun 12 21:16:21 GMT 2024","276","","VideoGameTest","","VideoGameTest","getSingleGame","getSingleGame()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","FootballTest","","FootballTest","extractFirstTeamName","extractFirstTeamName()",""
"passed","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:18 GMT 2024","333","","VideoGameTest","","VideoGameTest","createNewGameByJSON","createNewGameByJSON()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","1","","FootballTest","","FootballTest","getFirstTeamName","getFirstTeamName()",""
"passed","Wed Jun 12 21:16:20 GMT 2024","Wed Jun 12 21:16:21 GMT 2024","734","","VideoGameTest","","VideoGameTest","testVideoGameXMLSchema","testVideoGameXMLSchema()",""
