"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 21:16:22 GMT 2024","Wed Jun 12 21:16:22 GMT 2024","369","","VideoGameTest","","VideoGameTest","testVideoGameSerializationByJSON","testVideoGameSerializationByJSON()",""
"passed","Wed Jun 12 21:16:20 GMT 2024","Wed Jun 12 21:16:20 GMT 2024","355","","VideoGameTest","","VideoGameTest","testConversionFromJSONToPOJO","testConversionFromJSONToPOJO()",""
"passed","Wed Jun 12 21:16:18 GMT 2024","Wed Jun 12 21:16:18 GMT 2024","299","","VideoGameTest","","VideoGameTest","captureResponseTime","captureResponseTime()",""
"passed","Wed Jun 12 21:16:18 GMT 2024","Wed Jun 12 21:16:19 GMT 2024","281","","VideoGameTest","","VideoGameTest","updateGame","updateGame()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","FootballTest","","FootballTest","extractAllTeamNames","extractAllTeamNames()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithFind","extractSingleValueWithFind()",""
"passed","Wed Jun 12 21:16:18 GMT 2024","Wed Jun 12 21:16:18 GMT 2024","292","","VideoGameTest","","VideoGameTest","getAllGames","getAllGames()",""
"passed","Wed Jun 12 21:16:22 GMT 2024","Wed Jun 12 21:16:23 GMT 2024","300","","MyFirstVideoGameTest","","MyFirstVideoGameTest","myFirstTest","myFirstTest()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithHighestNumber","extractSingleValueWithHighestNumber()",""
"passed","Wed Jun 12 21:16:16 GMT 2024","Wed Jun 12 21:16:16 GMT 2024","337","","GPathXMLPathTest","","GPathXMLPathTest","getAllXMLNodesWithFindAll","getAllXMLNodesWithFindAll()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapOfElementsWithFind","extractMapOfElementsWithFind()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapWithFindAndFindAllWithParameters","extractMapWithFindAndFindAllWithParameters()",""
"passed","Wed Jun 12 21:16:18 GMT 2024","Wed Jun 12 21:16:18 GMT 2024","286","","VideoGameTest","","VideoGameTest","createNewGameByXML","createNewGameByXML()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","FootballTest","","FootballTest","getDetailsOfOneArea","getDetailsOfOneArea()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractListOfValuesWithFindAll","extractListOfValuesWithFindAll()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapWithFindAllWithParameters","extractMapWithFindAllWithParameters()",""
"passed","Wed Jun 12 21:16:15 GMT 2024","Wed Jun 12 21:16:16 GMT 2024","361","","GPathXMLPathTest","","GPathXMLPathTest","getFirstGameInList","getFirstGameInList()",""
"passed","Wed Jun 12 21:16:22 GMT 2024","Wed Jun 12 21:16:22 GMT 2024","302","","MyFirstVideoGameTest","","MyFirstVideoGameTest","myFirstTestWithEndpoints","myFirstTestWithEndpoints()",""
"passed","Wed Jun 12 21:16:21 GMT 2024","Wed Jun 12 21:16:22 GMT 2024","281","","VideoGameTest","","VideoGameTest","deleteGame","deleteGame()",""
"passed","Wed Jun 12 21:16:16 GMT 2024","Wed Jun 12 21:16:16 GMT 2024","326","","GPathXMLPathTest","","GPathXMLPathTest","getAllNodesBasedOnCondition","getAllNodesBasedOnCondition()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","FootballTest","","FootballTest","extractHeaders","extractHeaders()",""
"passed","Wed Jun 12 21:16:19 GMT 2024","Wed Jun 12 21:16:20 GMT 2024","834","","VideoGameTest","","VideoGameTest","testVideoGameJSONSchema","testVideoGameJSONSchema()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","FootballTest","","FootballTest","getAllTeamData_DoCheckFirst","getAllTeamData_DoCheckFirst()",""
"passed","Wed Jun 12 21:16:20 GMT 2024","Wed Jun 12 21:16:20 GMT 2024","288","","VideoGameTest","","VideoGameTest","assertOnResponseTime","assertOnResponseTime()",""
"skipped","Wed Jun 12 21:16:17 GMT 2024","Wed Jun 12 21:16:17 GMT 2024","0","","FootballTest","","FootballTest","getTeamData","getTeamData()",""
