"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 21:17:49 GMT 2024","Wed Jun 12 21:17:49 GMT 2024","454","","GPathXMLPathTest","","GPathXMLPathTest","getAllNodesBasedOnCondition","getAllNodesBasedOnCondition()",""
"passed","Wed Jun 12 21:17:57 GMT 2024","Wed Jun 12 21:17:57 GMT 2024","427","","MyFirstVideoGameTest","","MyFirstVideoGameTest","myFirstTestWithEndpoints","myFirstTestWithEndpoints()",""
"skipped","Wed Jun 12 21:17:50 GMT 2024","Wed Jun 12 21:17:50 GMT 2024","0","","FootballTest","","FootballTest","getDetailsOfMultipleAreas","getDetailsOfMultipleAreas()",""
"passed","Wed Jun 12 21:17:54 GMT 2024","Wed Jun 12 21:17:54 GMT 2024","423","","VideoGameTest","","VideoGameTest","assertOnResponseTime","assertOnResponseTime()",""
"passed","Wed Jun 12 21:17:57 GMT 2024","Wed Jun 12 21:17:57 GMT 2024","423","","MyFirstVideoGameTest","","MyFirstVideoGameTest","myFirstTest","myFirstTest()",""
"skipped","Wed Jun 12 21:17:50 GMT 2024","Wed Jun 12 21:17:50 GMT 2024","1","","FootballTest","","FootballTest","extractAllTeamNames","extractAllTeamNames()",""
"skipped","Wed Jun 12 21:17:50 GMT 2024","Wed Jun 12 21:17:50 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithHighestNumber","extractSingleValueWithHighestNumber()",""
"skipped","Wed Jun 12 21:17:50 GMT 2024","Wed Jun 12 21:17:50 GMT 2024","0","","FootballTest","","FootballTest","getAllTeamData_DoCheckFirst","getAllTeamData_DoCheckFirst()",""
"passed","Wed Jun 12 21:17:54 GMT 2024","Wed Jun 12 21:17:55 GMT 2024","505","","VideoGameTest","","VideoGameTest","testConversionFromJSONToPOJO","testConversionFromJSONToPOJO()",""
"passed","Wed Jun 12 21:17:53 GMT 2024","Wed Jun 12 21:17:54 GMT 2024","981","","VideoGameTest","","VideoGameTest","testVideoGameJSONSchema","testVideoGameJSONSchema()",""
"skipped","Wed Jun 12 21:17:50 GMT 2024","Wed Jun 12 21:17:50 GMT 2024","0","","FootballTest","","FootballTest","getTeamDateFounded","getTeamDateFounded()",""
"skipped","Wed Jun 12 21:17:50 GMT 2024","Wed Jun 12 21:17:50 GMT 2024","0","","FootballTest","","FootballTest","extractFirstTeamName","extractFirstTeamName()",""
"skipped","Wed Jun 12 21:17:50 GMT 2024","Wed Jun 12 21:17:50 GMT 2024","0","","FootballTest","","FootballTest","getTeamData","getTeamData()",""
"skipped","Wed Jun 12 21:17:50 GMT 2024","Wed Jun 12 21:17:50 GMT 2024","0","","FootballTest","","FootballTest","getDetailsOfOneArea","getDetailsOfOneArea()",""
"skipped","Wed Jun 12 21:17:50 GMT 2024","Wed Jun 12 21:17:50 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithLowestNumber","extractSingleValueWithLowestNumber()",""
"passed","Wed Jun 12 21:17:55 GMT 2024","Wed Jun 12 21:17:55 GMT 2024","774","","VideoGameTest","","VideoGameTest","testVideoGameXMLSchema","testVideoGameXMLSchema()",""
"passed","Wed Jun 12 21:17:50 GMT 2024","Wed Jun 12 21:17:51 GMT 2024","455","","VideoGameTest","","VideoGameTest","createNewGameByJSON","createNewGameByJSON()",""
"skipped","Wed Jun 12 21:17:50 GMT 2024","Wed Jun 12 21:17:50 GMT 2024","0","","FootballTest","","FootballTest","getFirstTeamName","getFirstTeamName()",""
"passed","Wed Jun 12 21:17:51 GMT 2024","Wed Jun 12 21:17:52 GMT 2024","405","","VideoGameTest","","VideoGameTest","createNewGameByXML","createNewGameByXML()",""
"passed","Wed Jun 12 21:17:56 GMT 2024","Wed Jun 12 21:17:56 GMT 2024","418","","VideoGameTest","","VideoGameTest","deleteGame","deleteGame()",""
"passed","Wed Jun 12 21:17:48 GMT 2024","Wed Jun 12 21:17:49 GMT 2024","458","","GPathXMLPathTest","","GPathXMLPathTest","getAllXMLNodesWithFindAll","getAllXMLNodesWithFindAll()",""
