"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 20:56:18 GMT 2024","Wed Jun 12 20:56:19 GMT 2024","513","","GPathXMLPathTest","","GPathXMLPathTest","getAllXMLNodesWithFindAll","getAllXMLNodesWithFindAll()",""
"passed","Wed Jun 12 20:56:27 GMT 2024","Wed Jun 12 20:56:27 GMT 2024","461","","VideoGameTest","","VideoGameTest","deleteGame","deleteGame()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","FootballTest","","FootballTest","extractFirstTeamName","extractFirstTeamName()",""
"passed","Wed Jun 12 20:56:18 GMT 2024","Wed Jun 12 20:56:18 GMT 2024","534","","GPathXMLPathTest","","GPathXMLPathTest","getFirstGameInList","getFirstGameInList()",""
"passed","Wed Jun 12 20:56:20 GMT 2024","Wed Jun 12 20:56:20 GMT 2024","497","","GPathXMLPathTest","","GPathXMLPathTest","getSingleNode","getSingleNode()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithFind","extractSingleValueWithFind()",""
"passed","Wed Jun 12 20:56:19 GMT 2024","Wed Jun 12 20:56:20 GMT 2024","504","","GPathXMLPathTest","","GPathXMLPathTest","getSingleElementDepthFirstSearch","getSingleElementDepthFirstSearch()",""
"passed","Wed Jun 12 20:56:22 GMT 2024","Wed Jun 12 20:56:23 GMT 2024","477","","VideoGameTest","","VideoGameTest","getAllGames","getAllGames()",""
"passed","Wed Jun 12 20:56:23 GMT 2024","Wed Jun 12 20:56:24 GMT 2024","993","","VideoGameTest","","VideoGameTest","testVideoGameJSONSchema","testVideoGameJSONSchema()",""
"passed","Wed Jun 12 20:56:15 GMT 2024","Wed Jun 12 20:56:18 GMT 2024","2704","","GPathXMLPathTest","","GPathXMLPathTest","getXMLNodesWithAttribute","getXMLNodesWithAttribute()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","FootballTest","","FootballTest","getDetailsOfOneArea","getDetailsOfOneArea()",""
"passed","Wed Jun 12 20:56:19 GMT 2024","Wed Jun 12 20:56:19 GMT 2024","519","","GPathXMLPathTest","","GPathXMLPathTest","getAllNodesBasedOnCondition","getAllNodesBasedOnCondition()",""
"passed","Wed Jun 12 20:56:20 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","478","","GPathXMLPathTest","","GPathXMLPathTest","getAtrtributes","getAtrtributes()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","FootballTest","","FootballTest","getFirstTeamName","getFirstTeamName()",""
"passed","Wed Jun 12 20:56:25 GMT 2024","Wed Jun 12 20:56:25 GMT 2024","535","","VideoGameTest","","VideoGameTest","testConversionFromJSONToPOJO","testConversionFromJSONToPOJO()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithHighestNumber","extractSingleValueWithHighestNumber()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","FootballTest","","FootballTest","extractHeaders","extractHeaders()",""
"passed","Wed Jun 12 20:56:28 GMT 2024","Wed Jun 12 20:56:29 GMT 2024","489","","MyFirstVideoGameTest","","MyFirstVideoGameTest","myFirstTest","myFirstTest()",""
"passed","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","512","","VideoGameTest","","VideoGameTest","createNewGameByJSON","createNewGameByJSON()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractListOfValuesWithFindAll","extractListOfValuesWithFindAll()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithLowestNumber","extractSingleValueWithLowestNumber()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","1","","FootballTest","","FootballTest","getTeamDateFounded","getTeamDateFounded()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMultiplleValuesAndSumThem","extractMultiplleValuesAndSumThem()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","FootballTest","","FootballTest","getDetailsOfMultipleAreas","getDetailsOfMultipleAreas()",""
"passed","Wed Jun 12 20:56:27 GMT 2024","Wed Jun 12 20:56:28 GMT 2024","520","","VideoGameTest","","VideoGameTest","testVideoGameSerializationByJSON","testVideoGameSerializationByJSON()",""
"passed","Wed Jun 12 20:56:24 GMT 2024","Wed Jun 12 20:56:25 GMT 2024","472","","VideoGameTest","","VideoGameTest","assertOnResponseTime","assertOnResponseTime()",""
"passed","Wed Jun 12 20:56:26 GMT 2024","Wed Jun 12 20:56:27 GMT 2024","465","","VideoGameTest","","VideoGameTest","getSingleGame","getSingleGame()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapOfElementsWithFind","extractMapOfElementsWithFind()",""
"passed","Wed Jun 12 20:56:25 GMT 2024","Wed Jun 12 20:56:26 GMT 2024","1039","","VideoGameTest","","VideoGameTest","testVideoGameXMLSchema","testVideoGameXMLSchema()",""
"passed","Wed Jun 12 20:56:22 GMT 2024","Wed Jun 12 20:56:22 GMT 2024","480","","VideoGameTest","","VideoGameTest","createNewGameByXML","createNewGameByXML()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapWithFindAllWithParameters","extractMapWithFindAllWithParameters()",""
"passed","Wed Jun 12 20:56:23 GMT 2024","Wed Jun 12 20:56:23 GMT 2024","474","","VideoGameTest","","VideoGameTest","updateGame","updateGame()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","FootballTest","","FootballTest","extractAllTeamNames","extractAllTeamNames()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","FootballTest","","FootballTest","getTeamData","getTeamData()",""
"passed","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:22 GMT 2024","484","","VideoGameTest","","VideoGameTest","captureResponseTime","captureResponseTime()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","FootballTest","","FootballTest","getAllTeamData_DoCheckFirst","getAllTeamData_DoCheckFirst()",""
"skipped","Wed Jun 12 20:56:21 GMT 2024","Wed Jun 12 20:56:21 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapWithFindAndFindAllWithParameters","extractMapWithFindAndFindAllWithParameters()",""
"passed","Wed Jun 12 20:56:28 GMT 2024","Wed Jun 12 20:56:28 GMT 2024","482","","MyFirstVideoGameTest","","MyFirstVideoGameTest","myFirstTestWithEndpoints","myFirstTestWithEndpoints()",""
