"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","FootballTest","","FootballTest","extractFirstTeamName","extractFirstTeamName()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapOfElementsWithFind","extractMapOfElementsWithFind()",""
"passed","Sun Aug 04 11:26:10 GMT 2024","Sun Aug 04 11:26:10 GMT 2024","265","","VideoGameTest","","VideoGameTest","getAllGames","getAllGames()",""
"passed","Sun Aug 04 11:26:09 GMT 2024","Sun Aug 04 11:26:09 GMT 2024","276","","VideoGameTest","","VideoGameTest","captureResponseTime","captureResponseTime()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","FootballTest","","FootballTest","extractHeaders","extractHeaders()",""
"passed","Sun Aug 04 11:26:07 GMT 2024","Sun Aug 04 11:26:08 GMT 2024","316","","GPathXMLPathTest","","GPathXMLPathTest","getAllXMLNodesWithFindAll","getAllXMLNodesWithFindAll()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","FootballTest","","FootballTest","getTeamData","getTeamData()",""
"passed","Sun Aug 04 11:26:12 GMT 2024","Sun Aug 04 11:26:12 GMT 2024","337","","VideoGameTest","","VideoGameTest","testConversionFromJSONToPOJO","testConversionFromJSONToPOJO()",""
"passed","Sun Aug 04 11:26:11 GMT 2024","Sun Aug 04 11:26:12 GMT 2024","265","","VideoGameTest","","VideoGameTest","assertOnResponseTime","assertOnResponseTime()",""
"passed","Sun Aug 04 11:26:13 GMT 2024","Sun Aug 04 11:26:13 GMT 2024","337","","VideoGameTest","","VideoGameTest","testVideoGameSerializationByJSON","testVideoGameSerializationByJSON()",""
"passed","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:07 GMT 2024","1082","","GPathXMLPathTest","","GPathXMLPathTest","getXMLNodesWithAttribute","getXMLNodesWithAttribute()",""
"passed","Sun Aug 04 11:26:12 GMT 2024","Sun Aug 04 11:26:12 GMT 2024","555","","VideoGameTest","","VideoGameTest","testVideoGameXMLSchema","testVideoGameXMLSchema()",""
"passed","Sun Aug 04 11:26:08 GMT 2024","Sun Aug 04 11:26:09 GMT 2024","282","","GPathXMLPathTest","","GPathXMLPathTest","getSingleNode","getSingleNode()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapWithFindAllWithParameters","extractMapWithFindAllWithParameters()",""
"passed","Sun Aug 04 11:26:05 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","316","","MyFirstVideoGameTest","","MyFirstVideoGameTest","myFirstTest","myFirstTest()",""
"passed","Sun Aug 04 11:26:13 GMT 2024","Sun Aug 04 11:26:13 GMT 2024","258","","VideoGameTest","","VideoGameTest","deleteGame","deleteGame()",""
