"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 04 11:26:08 GMT 2024","Sun Aug 04 11:26:08 GMT 2024","317","","GPathXMLPathTest","","GPathXMLPathTest","getAllNodesBasedOnCondition","getAllNodesBasedOnCondition()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMultiplleValuesAndSumThem","extractMultiplleValuesAndSumThem()",""
"passed","Sun Aug 04 11:26:08 GMT 2024","Sun Aug 04 11:26:08 GMT 2024","304","","GPathXMLPathTest","","GPathXMLPathTest","getSingleElementDepthFirstSearch","getSingleElementDepthFirstSearch()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithFind","extractSingleValueWithFind()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractListOfValuesWithFindAll","extractListOfValuesWithFindAll()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","FootballTest","","FootballTest","getDetailsOfMultipleAreas","getDetailsOfMultipleAreas()",""
"passed","Sun Aug 04 11:26:10 GMT 2024","Sun Aug 04 11:26:11 GMT 2024","821","","VideoGameTest","","VideoGameTest","testVideoGameJSONSchema","testVideoGameJSONSchema()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","FootballTest","","FootballTest","getAllTeamData_DoCheckFirst","getAllTeamData_DoCheckFirst()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithHighestNumber","extractSingleValueWithHighestNumber()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","FootballTest","","FootballTest","getDetailsOfOneArea","getDetailsOfOneArea()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","FootballTest","","FootballTest","getFirstTeamName","getFirstTeamName()",""
"passed","Sun Aug 04 11:26:12 GMT 2024","Sun Aug 04 11:26:13 GMT 2024","265","","VideoGameTest","","VideoGameTest","getSingleGame","getSingleGame()",""
"passed","Sun Aug 04 11:26:10 GMT 2024","Sun Aug 04 11:26:10 GMT 2024","316","","VideoGameTest","","VideoGameTest","updateGame","updateGame()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","FootballTest","","FootballTest","extractAllTeamNames","extractAllTeamNames()",""
"passed","Sun Aug 04 11:26:09 GMT 2024","Sun Aug 04 11:26:09 GMT 2024","404","","VideoGameTest","","VideoGameTest","createNewGameByJSON","createNewGameByJSON()",""
"passed","Sun Aug 04 11:26:03 GMT 2024","Sun Aug 04 11:26:05 GMT 2024","1957","","MyFirstVideoGameTest","","MyFirstVideoGameTest","myFirstTestWithEndpoints","myFirstTestWithEndpoints()",""
"passed","Sun Aug 04 11:26:09 GMT 2024","Sun Aug 04 11:26:10 GMT 2024","363","","VideoGameTest","","VideoGameTest","createNewGameByXML","createNewGameByXML()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractSingleValueWithLowestNumber","extractSingleValueWithLowestNumber()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","FootballTest","","FootballTest","getTeamDateFounded","getTeamDateFounded()",""
"passed","Sun Aug 04 11:26:09 GMT 2024","Sun Aug 04 11:26:09 GMT 2024","273","","GPathXMLPathTest","","GPathXMLPathTest","getAtrtributes","getAtrtributes()",""
"skipped","Sun Aug 04 11:26:06 GMT 2024","Sun Aug 04 11:26:06 GMT 2024","0","","GPathJSONTest","","GPathJSONTest","extractMapWithFindAndFindAllWithParameters","extractMapWithFindAndFindAllWithParameters()",""
"passed","Sun Aug 04 11:26:07 GMT 2024","Sun Aug 04 11:26:07 GMT 2024","360","","GPathXMLPathTest","","GPathXMLPathTest","getFirstGameInList","getFirstGameInList()",""
